,Label,System,X,Y,Name,NameText,ActiveWorld,Description,ButtonLabel,Map,ExitMap,Scale,PlanetRotation,RingColor,OrbitRing,SystemLevelType,PlanetLevelType,Event,EventCondition,EventFunction,EventParameter,EventTransition,EventTransitionParameter,EventMessage,VisibleConditional,VisibleFunction,VisibleParameter,UsableConditional,UsableFunction,UsableParameter,UsablePlanetConditional,UsablePlanetFunction,UsablePlanetParameter,ImageIndex,Shader,Horizon_Atmosphere_Intensity,Horizon_Atmosphere_Falloff,Bump_Amount,Atmosphere_Min,Atmosphere_Tile_U,Atmosphere_Tile_V,Atmosphere_Pan_Multiplier,Emissive_Twinkle_Multiplier,Normal_Map_Tile,City_Emissive_Tile,ContinentMask01,ContinentMask02,Continent_Texture,Ocean_Texture,AtmosphereMaster,City_Emissive,Normal_Map,Atmosphere_ColorR,Atmosphere_ColorG,Atmosphere_ColorB,Atmosphere_ColorA,Atmosphere_MixerR,Atmosphere_MixerG,Atmosphere_MixerB,Atmosphere_MixerA,Beach_ColorR,Beach_ColorG,Beach_ColorB,Beach_ColorA,City_Emissive_ColorR,City_Emissive_ColorG,City_Emissive_ColorB,City_Emissive_ColorA,City_Emissive_MixerR,City_Emissive_MixerG,City_Emissive_MixerB,City_Emissive_MixerA,Continent_ColorR,Continent_ColorG,Continent_ColorB,Continent_ColorA,Continent_Color_AltR,Continent_Color_AltG,Continent_Color_AltB,Continent_Color_AltA,Continent_Mask_MixerR,Continent_Mask_MixerG,Continent_Mask_MixerB,Continent_Mask_MixerA,Continent_Mask_Mixer02R,Continent_Mask_Mixer02G,Continent_Mask_Mixer02B,Continent_Mask_Mixer02A,Continent_Texture_MixerR,Continent_Texture_MixerG,Continent_Texture_MixerB,Continent_Texture_MixerA,Horizon_Atmosphere_ColorR,Horizon_Atmosphere_ColorG,Horizon_Atmosphere_ColorB,Horizon_Atmosphere_ColorA,Landmass_MixerR,Landmass_MixerG,Landmass_MixerB,Landmass_MixerA,Ocean_ColorR,Ocean_ColorG,Ocean_ColorB,Ocean_ColorA,Ocean_Color_AltR,Ocean_Color_AltG,Ocean_Color_AltB,Ocean_Color_AltA,Ocean_Texture_MixerR,Ocean_Texture_MixerG,Ocean_Texture_MixerB,Ocean_Texture_MixerA,Silt_ColorR,Silt_ColorG,Silt_ColorB,Silt_ColorA,SunColor0,SunColor1,SunColor2,Brightness0,Brightness1,Brightness2,Fringe_Bloom,Opacity,Corona_ColorR,Corona_ColorG,Corona_ColorB,Corona_ColorA
1,Planet01,1,0.35,0.46,135823,Citadel,10101,138074,136217,1,1,1,0,-1,0,1,4,Land,0,0,1,0,0,,1,974,1,1,974,1,1,836,1,8,,0,1,0,0,1,1,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,1
2,Planet02,1,0.15,0.53,166212,*Placeholder*,10102,166212,,-1,0,1,0,-1,0,0,0,,0,0,1,0,0,,1,975,1,1,975,1,1,975,1,,,19,1,0.55,0,1,1,0,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,0.8,1.3,1.3,1,1,0.1,2,1,0.1,0.15,0.13,1,0,0,0,1,1,0,0,1,0.04,0.7,0.05,1,0.02,0.04,0.02,1,1,0,0,0,0,1,1,0,1,0,0,0,0.173439,0.4,0.9,1,0.2,0.7,0.1,1,0.014311,0.022013,0.067725,1,0.026549,0.61907,0.071761,1,0,0,5,0,0.05,0.1,0.9,1,-1,-1,-1,1,1,1,5,1,0.038473,0.306635,0.339223,1
4,Planet01,4,0.47,0.43,135831,Mercury,30101,138075,,-1,0,3,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,119,GXM_Planet_Mercury,0,1,1,0,1,1,0,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal02,0.535642,0.535642,0.535642,0,0,0,0,0,0.535642,0.535642,0.535642,0,0,0,0,1,1,0,0,1,0.002932,0.002932,0.002932,0,0.02,0.04,0.02,1,0,0.2,5,0,0,0,0,0,0.535642,0.535642,0.535642,0,0.038473,0.073828,0.14198,0,2,0.2,1,0,0.063815,0.063815,0.063815,0,0.026549,0.61907,0.071761,1,0.535642,0.535642,0.535642,0,0.409826,0.409826,0.409826,0,3422281,15982240,3422281,0.5,10,3,0,0.1,0.4,0.4,0.4,0
5,Planet02,4,0.4,0.44,135832,Venus,30102,138076,,-1,0,4,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,123,GXM_Planet_Venus,4,2,0,0.7,1,1,1.4,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,0.899385,0.737205,0.358654,0,1,2.5,1,0,0.1,0.15,0.13,1,0,0,0,1,1,0,0,1,0.899385,0.737205,0.358654,0,0.02,0.04,0.02,1,1,1,1,0,0,1,1,0,1,0,0,0,0.907547,0.7593,0.38891,0,0.2,0.7,0.1,1,0.899385,0.737205,0.358654,0,0.026549,0.61907,0.071761,1,0.899385,0.737205,0.358654,0,0.899385,0.737205,0.358654,0,16311717,16311461,8946429,1,0.1,30,5,5,0.88318,0.625345,0.124741,0
6,Planet03,4,0.46,0.36,135833,Earth,30103,138077,,-1,0,4.1,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,116,GXM_Earth,0.7,6,0,0,1,0.6,1.25,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere03,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,5,5,5,0,2,0,0.1,0,0.098689,0.394083,0.907547,0,0,0,0,1,1,0,0,1,0.03423,0.227137,0.024223,0,0.63878,0.511398,0.201096,0,2,1,0,0,0,0,1,0,1,0,0,0,0.061907,0.344026,0.891262,0,0.2,1,0.3,0,0.000262,0.024223,0.093876,0,0.001433,0.130352,0.517401,0,0,0,5,0,0.001963,0.166872,0.65237,0,14217470,14217470,1259637,2,1.5,3,0,5,0.121986,0.442323,1,0
7,Planet04,4,0.32,0.38,135834,Mars,30104,138078,,-1,0,3.8,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,118,GXM_Planet_Mars,7,15,0.4,0,1,0.5,1.1,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere03,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,0.948965,0.766744,0.612066,0,0,0,0.3,0,0.1,0.15,0.13,1,0,0,0,1,1,0,0,1,0.436813,0.254916,0.00456,0,0.02,0.04,0.02,1,0,2,3,0,0.5,0,0,0,1,0,0,0,0.002932,0.012664,0.009021,0,4,2,2,0,0.781751,0.487765,0.025371,0,0.899385,0.737205,0.358654,0,0,0,5,0,0.05,0.1,0.9,1,15169298,13592846,4087386,1,2,50,0,1,0.073828,0.124741,0.147998,0
8,Planet05,4,0.47,0.17,135835,Jupiter,30105,138079,,-1,0,7,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,117,GXM_Planet_Jupiter,5,1,0,0.1,1,0.1,1.02,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere03,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,0.851252,0.541798,0.394083,0,1.5,2,1,0,0.899385,0.737205,0.358654,0,0,0,0,1,0.899385,0.737205,0.358654,0,0.899385,0.737205,0.358654,0,0.899385,0.737205,0.358654,0,1,1,1,0,0,1,1,0,0.899385,0.737205,0.358654,0,0.867136,0.65237,0.197516,0,0.2,0.7,0.1,1,0.899385,0.737205,0.358654,0,0.899385,0.737205,0.358654,0,0.899385,0.737205,0.358654,0,0.899385,0.737205,0.358654,0,4932999,15905715,4932999,5,4,50,5,2,0.74453,0.383775,0.180144,0
9,Planet06,4,0.65,0.14,135836,Saturn,30106,138080,,-1,0,6.6,0,-14248,1,2,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,124,GXM_Planet_Saturn,10,2,0,2,1,0.02,1,0.03,1,0,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,0.859174,0.63878,0.186989,0,2,2.5,0,0,0.859174,0.63878,0.186989,0,5.7e-05,0.000107,0,0,0,0,0,1,0.859174,0.63878,0.186989,0,0.859174,0.63878,0.186989,0,0.859174,0.63878,0.186989,0,0.859174,0.63878,0.186989,0,0.859174,0.63878,0.186989,0,0.144972,0.103634,0.010398,0,0.859174,0.63878,0.186989,1,0.859174,0.63878,0.186989,0,0.859174,0.63878,0.186989,0,0.859174,0.63878,0.186989,0,0.859174,0.63878,0.186989,0,7045293,13811381,7045293,6,3,5,5,3,0.399293,0.190463,0.003303,0
10,Planet07,4,0.09,0.4,135837,Uranus,30107,138081,,-1,0,4.2,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,122,GXM_Planet_Uranus,5,1,0,1.2,0.02,0.25,1.1,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,0.180144,0.875138,0.827726,0,2,2,1,0,0.180144,0.875138,0.827726,0,0.180144,0.875138,0.827726,0,0.180144,0.875138,0.827726,1,0.180144,0.875138,0.827726,0,0.180144,0.875138,0.827726,0,0.180144,0.875138,0.827726,0,0.180144,0.875138,0.827726,0,0.180144,0.875138,0.827726,0,0.002586,0.002586,0.186989,0,0.180144,0.875138,0.827726,1,0.180144,0.875138,0.827726,0,0.180144,0.875138,0.827726,0,0.180144,0.875138,0.827726,0,0.180144,0.875138,0.827726,0,1092041,1092041,1259372,5,3,5,0,1,0.011126,0.186989,0.940601,0
11,Planet08,4,0.23,0.11,135838,Neptune,30108,138082,,-1,0,4.4,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,120,GXM_Planet_Neptune,0.5,10,0,1.2,0.02,0.25,1,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,0.006585,0.197516,0.796917,0,0.8,3.5,1,0,0.006585,0.187516,0.796917,0,0.006585,0.187516,0.796917,0,0.006585,0.187516,0.796917,1,0.006585,0.187516,0.796917,0,0.006585,0.187516,0.796917,0,0.006585,0.187516,0.796917,0,0.006585,0.187516,0.796917,0,0.006585,0.187516,0.796917,0,0.002586,0.002586,0.186989,0,0.006585,0.187516,0.796917,1,0.006585,0.187516,0.796917,0,0.006585,0.187516,0.796917,0,0.006585,0.187516,0.796917,0,0.006585,0.187516,0.796917,0,1092041,1144520,1259372,1,3,1,0,10,0.003697,0.035614,0.163641,0
