Audio Bus	ID	Name			Wwise Object Path	Notes
	78998992	Ducker-Shield-Down			\Default Work Unit\Master Audio Bus\Ducking Control Buses\Ducker-Shield-Down	
	88173976	Env-Snd-0-CineAnim			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Env-Snd-0-NonDucking\Env-Snd-0-CineAnim	For all cine anim sounds
	88325593	Env-VO-Ambient-Duck			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Env-VO\Env-VO-Ambient-Duck	For ambient VO lines (i.e. not conversation) that you would like to duck the ambiences a little to ensure they cut through. This bus is usually used for henchmen ambience lines.
	113282184	Slowdown and Bleedout UnAffected			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout UnAffected	Most audio should NOT be placed in this bus. This is for sounds that should NOT be affected by time slowing down during adrenaline, etc or the bleedout filter. Examples are GUI sounds and the death music, both of which should always play regardless of conditions.
	192878726	Env-Snd-0-ProceduralFoley			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Env-Snd-0-NonDucking\Env-Snd-0-ProceduralFoley	
	222669541	Env-Snd-1-Powers			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Env-Snd-1-Norm-FastRel\Env-Snd-1-Powers	For any power related sounds  such as biotics and tech. The VFX bus is not for these sounds, that is for environmental VFX. 
	301674290	Env-VO-Conversation			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Env-VO\Env-VO-Conversation	The standard conversation VO bus. Most conversation VO should go here.
	370644045	Env-Snd-1-Weapons-Foley-Expand			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Env-Snd-1-Norm-FastRel\Env-Snd-1-Weapons-Foley-Expand	
	373162680	Migrated			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated	
	381320459	Mus-1-Moderate Ducking			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Non-Environmental\NonEnv-Music-Score\Mus-1-Moderate Ducking	
	383753028	Env-Snd-5-Critical			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Env-Snd-5-Critical	For massive events such as a reaper landing on your head or nuclear weapons; use rarely. Causes ducking to 1, 2 and 3. 
	420012082	Env-VO-Exertions			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Env-VO\Env-VO-Exertions	
	440861076	Env-Music			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Env-Music	For music that is emanating within the game world, will have the current reverb applied to it. Examples are nightclub music.
	455854849	Env-Duck-VO-Amb-NonDuck-DuckedByConvo			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Env-VO\Env-VO-Ambient-NonDuck\Env-Duck-VO-Amb-NonDuck-DuckedByConvo	Send ambient VO here if it continues during conversations. An example is advertisements, news reports or the Blue Rose Krogan from ME2 who recites poetry in the background during a conversation. This bus is ducked by conversation VO so the VO doesn't get cluttered. 
	589371832	NonEnv-Snd-0-CineDes			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Non-Environmental\NonEnv-Snd-0-NonDucking\NonEnv-Snd-0-CineDes	For Cine Design sounds. Send to a child of this bus, do not send directly to this bus; we have code in place to kill sounds that trigger if the player skips the cine design line and it requires the sounds to be on the correct bus in order to function.
	608083365	Ducker-MutePlayerGuns			\Default Work Unit\Master Audio Bus\Ducking Control Buses\Ducker-MutePlayerGuns	
	661759782	Env-Snd-0-CineD-SkipNoKill			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Env-Snd-0-NonDucking\Env-Snd-0-CineDesign\Env-Snd-0-CineD-SkipNoKill	For cine design sounds that should NOT be killed if the player skips the line in the conversation. Most sounds should not be sent to this bus. An example of sounds that would be sent here are long or looping sounds that switch on during the conversation that you have a later stop event for.
	750429206	PlayerWeapons-Fire			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Env-Snd-2-PlayerWeapons\PlayerWeapons-Fire	
	796533304	Ducker-Weapons-PlayerBulletImpacts			\Default Work Unit\Master Audio Bus\Ducking Control Buses\Ducker-Weapons-PlayerBulletImpacts	
	896595700	Env-Snd-1-Weapons-Foley-Collapse			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Env-Snd-1-Norm-FastRel\Env-Snd-1-Weapons-Foley-Collapse	
